Codice_ateco,Descrizione_ateco
41.1,41.1 - SVILUPPO DI PROGETTI IMMOBILIARI
41.10,41.10 - Sviluppo di progetti immobiliari
41.10.0,41.10.0 - Sviluppo di progetti immobiliari senza costruzione
41.10.0,41.10.00 - Sviluppo di progetti immobiliari senza costruzione
41.2,41.2 - COSTRUZIONE DI EDIFICI RESIDENZIALI E NON RESIDENZIALI
41.20,41.20 - Costruzione di edifici residenziali e non residenziali
41.20.0,41.20.0 - Costruzione di edifici residenziali e non residenziali
41.20.0,41.20.00 - Costruzione di edifici residenziali e non residenziali
42,42 - INGEGNERIA CIVILE
42.1,42.1 - COSTRUZIONE DI STRADE E FERROVIE
42.11,42.11 - Costruzione di strade e autostrade
42.11.0,"42.11.0 - Costruzione di strade, autostrade e piste aeroportuali"
42.11.0,"42.11.00 - Costruzione di strade, autostrade e piste aeroportuali"
42.12,42.12 - Costruzione di linee ferroviarie e metropolitane
42.12.0,42.12.0 - Costruzione di linee ferroviarie e metropolitane
42.12.0,42.12.00 - Costruzione di linee ferroviarie e metropolitane
42.13,42.13 - Costruzione di ponti e gallerie
42.13.0,42.13.0 - Costruzione di ponti e gallerie
42.13.0,42.13.00 - Costruzione di ponti e gallerie
42.2,42.2 - COSTRUZIONE DI OPERE DI PUBBLICA UTILITÀ
42.21,42.21 - Costruzione di opere di pubblica utilità per il trasporto di fluidi
42.21.0,42.21.0 - Costruzione di opere di pubblica utilità per il trasporto di fluidi
42.21.0,42.21.00 - Costruzione di opere di pubblica utilità per il trasporto di fluidi
42.22,42.22 - Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni
42.22.0,42.22.0 - Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni
42.22.0,42.22.00 - Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni
42.9,42.9 - COSTRUZIONE DI ALTRE OPERE DI INGEGNERIA CIVILE
42.91,42.91 - Costruzione di opere idrauliche
42.91.0,42.91.0 - Costruzione di opere idrauliche
42.91.0,42.91.00 - Costruzione di opere idrauliche
42.99,42.99 - Costruzione di altre opere di ingegneria civile nca
42.99.0,42.99.0 - Costruzione di altre opere di ingegneria civile nca
42.99.1,42.99.01 - Lottizzazione dei terreni connessa con l'urbanizzazione
42.99.9,42.99.09 - Altre attività di costruzione di altre opere di ingegneria civile nca
43,43 - LAVORI DI COSTRUZIONE SPECIALIZZATI
43.1,43.1 - DEMOLIZIONE E PREPARAZIONE DEL CANTIERE EDILE
43.11,43.11 - Demolizione
43.11.0,43.11.0 - Demolizione
43.11.0,43.11.00 - Demolizione
43.12,43.12 - Preparazione del cantiere edile
43.12.0,43.12.0 - Preparazione del cantiere edile e sistemazione del terreno
43.12.0,43.12.00 - Preparazione del cantiere edile e sistemazione del terreno
43.13,43.13 - Trivellazioni e perforazioni 
43.13.0,43.13.0 - Trivellazioni e perforazioni
43.13.0,43.13.00 - Trivellazioni e perforazioni
43.2,"43.2 - INSTALLAZIONE DI IMPIANTI ELETTRICI, IDRAULICI ED ALTRI LAVORI DI COSTRUZIONE E INSTALLAZIONE"
43.21,43.21 - Installazione di impianti elettrici
43.21.0,43.21.0 - Installazione di impianti elettrici ed elettronici (inclusa manutenzione e riparazione)
43.21.1,43.21.01 - Installazione di impianti elettrici in edifici o in altre opere di costruzione (inclusa manutenzione e riparazione)
43.21.2,43.21.02 - Installazione di impianti elettronici (inclusa manutenzione e riparazione)
43.21.3,"43.21.03 - Installazione impianti di illuminazione stradale e dispositivi elettrici di segnalazione, illuminazione delle piste degli aeroporti (inclusa manutenzione e riparazione)"
43.22,"43.22 - Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria "
43.22.0,"43.22.0 - Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione)"
43.22.1,"43.22.01 - Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manutenzione e riparazione) in edifici o in altre opere di costruzione"
43.22.2,43.22.02 - Installazione di impianti per la distribuzione del gas (inclusa manutenzione e riparazione)
43.22.3,43.22.03 - Installazione di impianti di spegnimento antincendio (inclusi quelli integrati e la manutenzione e riparazione)
43.22.4,43.22.04 - Installazione di impianti di depurazione per piscine (inclusa manutenzione e riparazione)
43.22.5,43.22.05 - Installazione di impianti di irrigazione per giardini (inclusa manutenzione e riparazione)
43.29,43.29 - Altri lavori di costruzione e installazione
43.29.0,43.29.0 - Altri lavori di costruzione e installazione
43.29.1,"43.29.01 - Installazione, riparazione e manutenzione di ascensori e scale mobili"
43.29.2,"43.29.02 - Lavori di isolamento termico, acustico o antivibrazioni"
43.29.9,43.29.09 - Altri lavori di costruzione e installazione nca
